id,car_make,car_model,car_year,fuel_type,average_consumption
1,Lincoln,LS,2001,3,8
2,Jeep,Compass,2007,2,9
3,Kia,Rio,2010,1,11
4,Isuzu,Amigo,1993,1,9
5,Lotus,Elan,1994,3,14
6,Pontiac,Firefly,1990,3,7
7,Hyundai,Tucson,2007,2,11
8,Nissan,Pathfinder,2008,3,15
9,Isuzu,Rodeo,1992,2,7
10,Dodge,Ram 1500,2003,2,16
11,GMC,Envoy XUV,2005,2,7
12,Lexus,RX,2006,3,16
13,Ford,Taurus,2005,2,7
14,Lincoln,Navigator L,2011,2,7
15,Nissan,Maxima,1994,1,10
16,Mercury,Grand Marquis,1989,1,9
17,Mercury,Villager,2000,2,11
18,GMC,Sierra 1500,2010,3,11
19,Ford,F150,2009,3,7
20,Oldsmobile,Achieva,1993,1,10
21,Lexus,CT,2012,2,7
22,Buick,Regal,2003,3,8
23,Porsche,911,2002,1,7
24,Volvo,C70,2006,2,15
25,Isuzu,Axiom,2004,2,16
26,Rolls-Royce,Ghost,2010,1,14
27,Mazda,Miata MX-5,2002,2,16
28,Nissan,Rogue,2008,1,11
29,GMC,Yukon XL 1500,2000,2,10
30,Dodge,Ram 3500 Club,1996,1,12
31,Chevrolet,Avalanche 2500,2004,3,7
32,Buick,Skylark,1989,1,7
33,Mercury,Villager,1999,3,11
34,Toyota,4Runner,2009,1,11
35,GMC,Savana 2500,1997,3,13
36,Audi,S4,2013,1,14
37,Chevrolet,Suburban 1500,2009,1,7
38,Mercedes-Benz,S-Class,2012,2,10
39,Dodge,Grand Caravan,2007,2,16
40,Ford,E350,2005,2,7
41,Mercedes-Benz,G-Class,2012,3,14
42,Mercedes-Benz,CL-Class,2009,1,16
43,Acura,TL,2002,1,15
44,Isuzu,Ascender,2008,1,9
45,GMC,Sonoma,2000,1,15
46,Jeep,Patriot,2010,2,14
47,Chevrolet,Tahoe,2013,3,16
48,Hummer,H1,2000,2,10
49,Chevrolet,Traverse,2011,3,11
50,Chevrolet,Sportvan G20,1993,3,11
51,Subaru,SVX,1994,3,13
52,Plymouth,Voyager,1995,3,7
53,Oldsmobile,Cutlass Supreme,1994,1,13
54,Toyota,Tundra,2008,1,10
55,Oldsmobile,88,1993,3,11
56,Nissan,Pathfinder,2002,2,14
57,BMW,X3,2005,3,7
58,Chrysler,Cirrus,1999,3,9
59,Suzuki,XL-7,2004,3,15
60,GMC,Vandura 2500,1992,1,11
61,Cadillac,SRX,2007,1,14
62,GMC,Yukon XL 1500,2000,3,7
63,Subaru,Leone,1986,1,14
64,Mercedes-Benz,GLK-Class,2011,3,11
65,Mazda,Mazda6,2008,2,15
66,Mercury,Sable,1993,3,14
